"","Date","Month","Year","Landing Site","Data Collector","Group","Fishgear","# Boats","#Fishers","Family","Species","Length","Weight_kg","Weight_g","FishGroups","EnglishName","KiswahiliName","Bycatch","Price_KSHPerkg","FunGr_Diet","TrophLevel","SE_TrophLevel","Vulnerability","Lmat_cm","Lopt_cm","Linf_cm","SizeCategory","Diet","Mobility","Active","Schooling","Position","TempPrefMin_degC","TempPrefMean_degC","TempPrefMax_degC","Calcium_mgPer100g","Calicum_L95","Calcium_U95","Iron_mgPer100g","Iron_L95","Iron_U95","Omega3_gPer100g","Omega3_L95","Omega3_U95","Protein_gPer100g","Protein_L95","Protein_U95","VitaminA_ugPer100g","VitaminA_L95","VitaminA_U95","Selenium_ugPer100g","Selenium_L95","Selenium_U95","Zinc_mgPer100g","Zinc_L95","Zinc_U95","Source","Notes","Lopt_ratio","Lmat_ratio"
"1",2022-09-14,"September","2022","Vanga","Sofia Saidi","1","Reef seine",1,22,"Acanthuridae","Acanthurus dussumieri",31.9,0.412,412,"Surgeonfishes","Eyestripe surgeonfish","Kangaja","No",120,"Grazer",2,0,36.1,20.22145609,21.15489444,30.04597698,"S5","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",20.3,27.2,28.9,45.30996427,14.34431983,105.5743016,0.745123017,0.289909105,1.89038453,0.103115029,0.049168535,0.211036606,18.62904341,17.45637276,19.76433445,21.012317,5.307870928,79.05787287,21.76427564,7.834334431,63.62859614,2.170176578,0.682502796,4.164825528,"Galligan","",1.50792527424212,1.57753229332359
"2",2022-09-14,"September","2022","Vanga","Sofia Saidi","1","Reef seine",1,22,"Acanthuridae","Acanthurus dussumieri",31.2,0.432,432,"Surgeonfishes","Eyestripe surgeonfish","Kangaja","No",120,"Grazer",2,0,36.1,20.22145609,21.15489444,30.04597698,"S5","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",20.3,27.2,28.9,45.30996427,14.34431983,105.5743016,0.745123017,0.289909105,1.89038453,0.103115029,0.049168535,0.211036606,18.62904341,17.45637276,19.76433445,21.012317,5.307870928,79.05787287,21.76427564,7.834334431,63.62859614,2.170176578,0.682502796,4.164825528,"Galligan","",1.47483600490138,1.54291559723185
"3",2022-09-14,"September","2022","Vanga","Sofia Saidi","1","Reef seine",1,22,"Acanthuridae","Acanthurus dussumieri",25.2,0.246,246,"Surgeonfishes","Eyestripe surgeonfish","Kangaja","No",120,"Grazer",2,0,36.1,20.22145609,21.15489444,30.04597698,"S5","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",20.3,27.2,28.9,45.30996427,14.34431983,105.5743016,0.745123017,0.289909105,1.89038453,0.103115029,0.049168535,0.211036606,18.62904341,17.45637276,19.76433445,21.012317,5.307870928,79.05787287,21.76427564,7.834334431,63.62859614,2.170176578,0.682502796,4.164825528,"Galligan","",1.1912136962665,1.24620105930265
"4",2022-09-17,"September","2022","Vanga","Sofia Saidi","4","Speargun",1,4,"Acanthuridae","Acanthurus dussumieri",28.9,0.397,397,"Surgeonfishes","Eyestripe surgeonfish","Kangaja","No",120,"Grazer",2,0,36.1,20.22145609,21.15489444,30.04597698,"S5","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",20.3,27.2,28.9,45.30996427,14.34431983,105.5743016,0.745123017,0.289909105,1.89038453,0.103115029,0.049168535,0.211036606,18.62904341,17.45637276,19.76433445,21.012317,5.307870928,79.05787287,21.76427564,7.834334431,63.62859614,2.170176578,0.682502796,4.164825528,"Galligan","",1.36611411992467,1.42917502435899
"5",2022-09-20,"September","2022","Shimoni","Roselyne Mwakio","1","HS/SG",1,8,"Acanthuridae","Acanthurus nigricauda",29,0.352,352,"Surgeonfishes","Blackstreak surgeonfish","Togoo","Yes",120,"Grazer",2.99,0.4,24.96,16.9569245,17.37290662,24.60919339,"S4","Herbivorous detritivorous","Mob","Day","SmallG","Bottom",25.3,28.4,29.3,85.17373789,24.80384275,222.9018785,1.036264373,0.360622449,2.916897706,0.250807638,0.09841153,0.636511132,17.8925274,16.70535347,19.02120607,36.9769314,9.403687522,139.5040883,19.05237975,5.807660856,67.20265235,2.665273334,0.85145424,5.310619913,"Galligan","",1.66926586519579,1.71021578824627
"6",2022-09-21,"September","2022","Vanga","Sofia Saidi","2","Malema",1,2,"Acanthuridae","Ctenochaetus striatus",30.8,0.46,460,"Surgeonfishes","Stripped bristletooth","Togoo","Yes",120,"Detritivore",2,0,18.05,19.02410618,18.97585845,23.88637472,"S3","Omnivorous","Sed","Day","MedG","Bottom",24.6,27.8,29,34.0372276,21.14486937,59.63734455,0.239528528,0.123519482,0.59241395,0.125975109,0.081617455,0.193711645,18.62315068,17.46642733,19.75160604,21.85602727,5.630076369,81.38666408,22.55222981,12.9132026,41.71089428,0.42905722,0.289574129,1.309694807,"Galligan","",1.62311497427933,1.61899853315474
"7",2022-09-29,"September","2022","Mkwiro","Roselyne Mwakio","3","Basket trap",1,3,"Acanthuridae","Naso annulatus",27,0.217,217,"Surgeonfishes","Whitemargin unicornfish","Togoo","Yes",120,"Planktivore",2.12,0.09,45.06,22.90217113,25.53935635,35.61666615,"S6","Planktivorous","VMob","Day","MedG","High",23.5,27.1,28.3,23.3123896,12.07328319,41.43449277,0.540386041,0.302349201,0.891397283,0.105656587,0.066562795,0.185118513,19.09263177,17.97194281,20.12024707,20.02050588,6.181385572,63.83102064,47.57868428,25.37129987,95.82827304,1.122042759,0.680965165,1.681619902,"Galligan","",1.05719187398393,1.17892752816925
"8",2022-09-29,"September","2022","Mkwiro","Roselyne Mwakio","3","Basket trap",1,3,"Acanthuridae","Naso hexacanthus",29,0.393,393,"Surgeonfishes","Blacktoungue unicornfish","Sange","Yes",120,"Planktivore",3.06,0.33,41.45,27.74857217,31.23833287,42.62401648,"S5","Planktivorous","VMob","Day","LargeG","High",22.1,27.5,28.9,32.63164028,15.1806079,68.49360173,0.763118768,0.395306866,1.467050274,0.27087063,0.124973465,0.59046018,17.9416967,16.8365054,19.02814349,76.3848951,21.37900277,272.5449389,39.21265941,16.74741103,85.52335247,1.221339184,0.739413795,1.990830092,"Galligan","",0.928346596493643,1.04509881886294
"9",2022-10-11,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,20,"Apogonidae","Cheilodipterus arabicus",14.6,0.029,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.28070175438596,1.23728813559322
"10",2022-10-11,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,20,"Apogonidae","Cheilodipterus arabicus",13.7,0.027,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.20175438596491,1.16101694915254
