Species,Family,FishGroups,EnglishName,KiswahiliName,Bycatch,Price_KSHPerkg,FunGr_Diet,TrophLevel,SE_TrophLevel,Vulnerability,Lmat_cm,Lopt_cm,Linf_cm,SizeCategory,Diet,Mobility,Active,Schooling,Position,TempPrefMin_degC,TempPrefMean_degC,TempPrefMax_degC,Calcium_mgPer100g,Calicum_L95,Calcium_U95,Iron_mgPer100g,Iron_L95,Iron_U95,Omega3_gPer100g,Omega3_L95,Omega3_U95,Protein_gPer100g,Protein_L95,Protein_U95,VitaminA_ugPer100g,VitaminA_L95,VitaminA_U95,Selenium_ugPer100g,Selenium_L95,Selenium_U95,Zinc_mgPer100g,Zinc_L95,Zinc_U95,Source,Notes
Abalistes stellatus,Balistidae,Triggerfishes,Starry triggerfish,Kikande,Yes,160,NA,NA,NA,43.83,17.91561632,18.05949453,37.4401865,S5,Mobile Inverts,Sed,Day,Sol,Bottom,18.5,25,28.1,35.76964719,13.91422231,74.19732144,0.483780829,0.292613442,0.958248817,0.119209368,0.060704797,0.241329526,18.87290555,16.74882827,20.87790216,49.49523205,15.2725168,162.1213456,37.28746054,19.46810782,81.77943115,0.909991387,0.603403717,1.395466864,Galligan,
Abudefduf sexfasciatus,Pomacentridae,Damselfishes,Scissor tail sergeant,Kitange,Yes,80,Grazer,2.7,0.3,29.65,9.373974377,10.89783351,16.80861006,S3,Planktivorous,Sed,Day,MedG,Low,24.7,28.4,29.3,64.56259745,39.43368137,100.8579591,0.673706119,0.447485843,1.068845252,0.127683564,0.081583535,0.192770223,18.63844563,17.54359399,19.71810451,60.78969244,18.51820693,190.9197645,26.70469021,15.00262949,48.23194422,1.420794122,0.964151904,2.08001775,Galligan,
Abudefduf vaigiensis,Pomacentridae,Butterflyfishes,Black-backed butterflyfish,Togoo,Yes,80,Grazer,3.24,0.41,15.82,9.824906871,11.46603436,17.66748161,S3,Planktivorous,Sed,Day,MedG,Low,21.9,28.2,29.3,77.95095194,47.36407307,127.8168443,0.823720597,0.54827791,1.305427984,0.126033571,0.080431851,0.191928829,18.81961831,17.73805743,19.86115335,32.99200494,10.25176473,107.3798408,30.87696324,17.28219489,56.60573169,1.428820333,0.96454341,2.090048458,Galligan,
Acanthopagrus berda,Sparidae,Porgies,Goldsilk seabream,Chena,No,NA,Predator,3.5,0.42,42.22,19.10582391,25.26211207,37.87838576,S6,Mobile Inverts,VMob,Both,MedG,Bottom,21.6,27.8,29,102.3191915,52.90614699,201.5097627,0.857043585,0.494662276,1.811845484,0.429934328,0.199893867,0.912612625,17.91417409,16.62977836,19.17109827,9.826073014,2.798395618,32.74114409,66.34621694,28.84312476,154.2901539,0.951819233,0.575451609,1.567392794,Galligan,
Acanthurus,Acanthuridae,NA,NA,Ngudu,No,120,NA,NA,NA,NA,32.06741878,37.30547593,60.1885698,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.44194499,19.9211002,150.9955192,0.830621514,0.316073541,2.13215443,0.129501969,0.059399083,0.279143543,18.6518778,17.52301526,19.73853713,28.18608169,7.98596121,98.51732716,20.64118241,7.184326935,62.19943078,2.335735075,0.745153361,4.523507178,Galligan,
Acanthurus blochii,Acanthuridae,Surgeonfishes,Ringtail surgeonfish,Kangaja,Yes,120,Grazer,2,0,38.32,22.07044034,23.2819485,32.90021069,S4,Herbivorous detritivorous,Mob,Day,SmallG,Bottom,24.9,27.8,28.8,47.1875781,15.00804992,110.015772,0.732889687,0.286525857,1.78595091,0.105894344,0.050276701,0.217385506,18.52156577,17.33149966,19.65723679,27.57444384,6.903501508,106.9443893,19.7637306,7.171349554,59.46748826,2.282216208,0.722939358,4.362229292,Galligan,
Acanthurus dussumieri,Acanthuridae,Surgeonfishes,Eyestripe surgeonfish,Kangaja,No,120,Grazer,2,0,36.1,20.22145609,21.15489444,30.04597698,S5,Herbivorous detritivorous,Mob,Day,SmallG,Bottom,20.3,27.2,28.9,45.30996427,14.34431983,105.5743016,0.745123017,0.289909105,1.89038453,0.103115029,0.049168535,0.211036606,18.62904341,17.45637276,19.76433445,21.012317,5.307870928,79.05787287,21.76427564,7.834334431,63.62859614,2.170176578,0.682502796,4.164825528,Galligan,
Acanthurus leucosternon,Acanthuridae,Surgeonfishes,Powder blue surgeonfish,Togoo,Yes,120,Grazer,2,0,37.16,14.88094266,14.92783169,21.02203509,S3,Herbivorous detritivorous,VMob,Day,LargeG,Bottom,25.8,27.5,29,44.34845229,13.9339319,102.6734636,0.73258628,0.285532212,1.835595826,0.10305175,0.048992867,0.211591534,18.60872221,17.42316389,19.73873728,22.14051888,5.598612667,84.42282649,21.43784894,7.747381032,63.03381107,2.168874793,0.68534257,4.164930677,Galligan,
Acanthurus mata,Acanthuridae,Surgeonfishes,Elongate surgeonfish,Togoo,Yes,120,Grazer,2.53,0.25,39.45,19.74363727,20.73084812,29.80117437,S5,Planktivorous,VMob,Day,LargeG,Low,24.7,27.9,29,45.066506,14.27111353,105.1541407,0.66589678,0.258240387,1.546029728,0.112516243,0.054230444,0.223513771,18.72262152,17.60439586,19.81158191,34.784306,9.823333697,116.6168423,19.69532662,7.295362763,55.13216332,2.069043092,0.661972965,3.930910977,Galligan,
Acanthurus nigricauda,Acanthuridae,Surgeonfishes,Blackstreak surgeonfish,Togoo,Yes,120,Grazer,2.99,0.4,24.96,16.9569245,17.37290662,24.60919339,S4,Herbivorous detritivorous,Mob,Day,SmallG,Bottom,25.3,28.4,29.3,85.17373789,24.80384275,222.9018785,1.036264373,0.360622449,2.916897706,0.250807638,0.09841153,0.636511132,17.8925274,16.70535347,19.02120607,36.9769314,9.403687522,139.5040883,19.05237975,5.807660856,67.20265235,2.665273334,0.85145424,5.310619913,Galligan,
Acanthurus nigrofuscus,Acanthuridae,Surgeonfishes,Elongate surgeonfish,Ngudu,Yes,120,Browser,2,0,27.14,12.09214641,12.05473114,17.16873771,S3,Herbivorous detritivorous,Sed,Day,SmallG,Bottom,24.6,27.7,29,90.12869422,29.04043742,216.0312826,1.00928198,0.388589401,2.640091672,0.119621467,0.057465018,0.248244942,18.53141764,17.37597302,19.6574757,27.51456893,7.161672553,102.9276797,17.88306814,6.246067867,50.80676053,2.807810055,0.878165683,5.38599695,Galligan,
Acanthurus tennentii,Acanthuridae,Surgeonfishes,Leutenant surgeonfish,Ngudu,Yes,120,Grazer,2,0,27.9,17.95195052,18.50034555,26.22482455,S4,Herbivorous detritivorous,Mob,Day,SmallG,Bottom,24.7,27.7,29.1,66.34726208,21.41847034,157.9189015,0.876754347,0.340787149,2.232219531,0.112606365,0.054208071,0.232036808,18.55647362,17.40604851,19.68058201,25.84725023,6.539495551,94.77520489,19.21042409,6.815938881,54.6439754,2.522308438,0.796167121,4.856039647,Galligan,
Acanthurus triostegus,Acanthuridae,Surgeonfishes,Convict surgeonfish,Togoo,Yes,120,Grazer,2.78,0.35,16.26,14.65478959,14.65177788,20.62016023,S3,Herbivorous detritivorous,VMob,Day,LargeG,Bottom,23.4,27.6,28.9,93.28948981,31.01521091,228.4846229,0.97781436,0.37253766,2.463193272,0.130899381,0.061405836,0.270223153,19.02288528,17.95211182,20.0686902,26.52305024,8.387046657,86.34450253,20.32851649,6.679398708,56.61579039,2.349097349,0.74443819,4.571298512,Galligan,
Acanthurus xanthopterus,Acanthuridae,Surgeonfishes,Yellowfin surgeonfish,Kangaja,No,120,Grazer,2.87,0.36,37.08,21.52361626,22.61479283,31.91803606,S5,Herbivorous detritivorous,Mob,Day,MedG,Bottom,23.3,27.7,29,45.12582026,15.45452517,110.2053097,0.698982801,0.261917652,1.879026701,0.1270055,0.060432742,0.261748438,19.38164335,18.45221832,20.24698973,31.30134872,12.74842981,76.0625381,26.63507144,9.061448326,89.26363953,1.986815829,0.683397325,3.964713108,Galligan,
Aethaloperca rogaa,Serranidae,Groupers,Redmouth grouper,Hira,Yes,200,Pisc-Macro-Invert,4.2,0.71,48.76,25.78485,28.94206952,46.12056092,S5,Carnivorous,Mob,Both,Sol,Bottom,24.1,27.9,29,31.25532286,18.08730041,56.52153225,0.304948218,0.160547315,0.623440694,0.146838951,0.093707622,0.229079306,18.23471937,16.17872791,20.15908404,118.795884,33.58531356,454.7013989,59.02543287,33.81629635,103.5332617,0.570999439,0.319216404,2.684408959,Galligan,
Alepes djedaba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,20.1,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FishBase,
Aluterus scriptus,Monacanthidae,Filefishes,Scrawled filefish,Sharifu,Yes,80,Variable,3.02,0.19,67.69,10.07722175,10.17007216,17.65566031,S6,Planktivorous,VMob,Both,Sol,Low,22.6,27.4,29,13.264913,4.353382327,31.13043855,0.604654342,0.314796752,1.364640279,0.126814859,0.05620163,0.273643486,19.20584242,16.86600637,21.4902733,20.31456056,4.730599467,81.4486257,20.83179884,9.130905154,50.48378019,0.69639806,0.384605296,1.23500124,Galligan,
Amblyglyphidodon leucogaster,Pomacentridae,Damselfishes,White -belly damsel,NA,No,80,Predator,3.38,0.39,24.47,8.782948239,10.15647097,15.68671879,S2,Planktivorous,Sed,Day,MedG,Low,24.9,27.9,29,78.30770964,45.3755852,127.7392523,0.820950247,0.525025277,1.356333489,0.157339647,0.092102598,0.259452296,18.62524432,17.5441152,19.69353471,143.6245412,45.93110582,442.9893193,23.87009428,11.69428973,44.95518843,1.277426675,0.847850067,1.910808002,Galligan,
Anampses caeruleopunctatus,Labridae,Wrasses,Bluespotted wrasse,Pono,Yes,160,Predator,3.37,0.42,40.08,15.01896242,17.44777162,28.20702692,S4,Mobile Inverts,Mob,Day,SmallG,Bottom,24.7,28.2,29.3,42.05445992,25.99847106,72.30915154,0.551812701,0.326923137,0.922350641,0.136181195,0.090855082,0.195440214,18.76694025,15.93730107,21.06506357,83.5490699,28.9369926,255.8003013,37.40870392,22.51429467,57.69069919,1.347048613,0.956311386,2.362078252,Galligan,
Anampses lineatus,Labridae,Wrasses,Lined wrasse,Pono,No,160,NA,NA,NA,22.77,15.01896242,17.44777162,28.20702692,S2,Mobile Inverts,Mob,Day,Sol,Bottom,24.5,28,29,103.5929576,61.15130846,214.4161769,0.788557224,0.457568101,1.343924833,0.169488359,0.104466103,0.270188745,18.73596833,15.8572538,20.98502916,128.6054103,42.46490771,413.1208752,28.70013773,15.81396004,50.72218032,1.818321169,1.23673995,3.22486763,Galligan,
Aphareus furca,Lutjanidae,Snappers,Small toothed jobfish,Tembo,No,200,Predator,4.14,0.73,35.93,42.69953881,59.12084626,87.62271944,S5,Carnivorous,VMob,Both,SmallG,Low,24.7,28,29.1,32.89145882,17.50501136,61.58355764,0.585352073,0.363174842,0.938172931,0.151799019,0.100861485,0.228620077,19.23200263,17.39402466,20.86854132,81.03686537,31.45572722,233.0024923,45.84552724,26.31849546,75.52577044,0.83666491,0.539988419,1.200115389,Galligan,
